"ID_INE_NUM_Provincia";"Nom_Provincia_Catala";"Nom_Provincia_INE";"ID_INE_NUM_CCAA";"Nom_CCAA";"MD_DATA_CANVI"
1;"Àlaba";"Araba/Álava";16;"País Basc";2016
3;"Alacant";"Alicante/Alacant";10;"Comunitat Valenciana";2016
2;"Albacete";"Albacete";8;"Castella - la Manxa";2016
4;"Almeria";"Almería";1;"Andalusia";2016
33;"Astúries";"Asturias";3;"Principat d'Astúries";2016
5;"Àvila";"Ávila";7;"Castella i Lleó";2016
6;"Badajoz";"Badajoz";11;"Extremadura";2016
8;"Barcelona";"Barcelona";9;"Catalunya";2016
48;"Biscaia";"Bizkaia";16;"País Basc";2016
9;"Burgos";"Burgos";7;"Castella i Lleó";2016
10;"Càceres";"Cáceres";11;"Extremadura";2016
11;"Cadis";"Cádiz";1;"Andalusia";2016
39;"Cantàbria";"Cantabria";6;"Cantàbria";2016
12;"Castelló de la Plana";"Castelló/Castellón";10;"Comunitat Valenciana";2016
51;"Ceuta";"Ceuta";18;"Ceuta";2016
13;"Ciudad Real";"Ciudad Real";8;"Castella - la Manxa";2016
16;"Conca";"Cuenca";8;"Castella - la Manxa";2016
14;"Còrdova";"Córdoba";1;"Andalusia";2016
15;"Corunya, la";"A Coruña";12;"Galícia";2016
17;"Girona";"Girona";9;"Catalunya";2016
18;"Granada";"Granada";1;"Andalusia";2016
19;"Guadalajara";"Guadalajara";8;"Castella - la Manxa";2016
20;"Guipúscoa";"Gipuzkoa";16;"País Basc";2016
21;"Huelva";"Huelva";1;"Andalusia";2016
7;"Illes Balears";"Illes Balears";4;"Illes Balears";2016
23;"Jaén";"Jaén";1;"Andalusia";2016
25;"Lleida";"Lleida";9;"Catalunya";2016
24;"Lleó";"León";7;"Castella i Lleó";2016
27;"Lugo";"Lugo";12;"Galícia";2016
28;"Madrid";"Madrid";13;"Comunitat de Madrid";2016
29;"Màlaga";"Málaga";1;"Andalusia";2016
52;"Melilla";"Melilla";19;"Melilla";2016
30;"Múrcia";"Murcia";14;"Regió de Múrcia";2016
31;"Navarra";"Navarra";15;"Comunitat Foral de Navarra";2016
22;"Osca";"Huesca";2;"Aragó";2016
32;"Ourense";"Ourense";12;"Galícia";2016
34;"Palència";"Palencia";7;"Castella i Lleó";2016
35;"Palmas, Las";"Las Palmas";5;"Canàries";2016
36;"Pontevedra";"Pontevedra";12;"Galícia";2016
26;"Rioja, La";"La Rioja";17;"Rioja, La";2016
37;"Salamanca";"Salamanca";7;"Castella i Lleó";2016
38;"Santa Cruz de Tenerife";"Santa Cruz de Tenerife";5;"Canàries";2016
50;"Saragossa";"Zaragoza";2;"Aragó";2016
40;"Segòvia";"Segovia";7;"Castella i Lleó";2016
41;"Sevilla";"Sevilla";1;"Andalusia";2016
42;"Sòria";"Soria";7;"Castella i Lleó";2016
43;"Tarragona";"Tarragona";9;"Catalunya";2016
44;"Terol";"Teruel";2;"Aragó";2016
45;"Toledo";"Toledo";8;"Castella - la Manxa";2016
46;"València";"València/Valencia";10;"Comunitat Valenciana";2016
47;"Valladolid";"Valladolid";7;"Castella i Lleó";2016
49;"Zamora";"Zamora";7;"Castella i Lleó";2016
3;"Alacant";"Alicante/Alacant";10;"Comunitat Valenciana";2017
2;"Albacete";"Albacete";8;"Castella - la Manxa";2017
4;"Almeria";"Almería";1;"Andalusia";2017
33;"Astúries";"Asturias";3;"Principat d'Astúries";2017
6;"Badajoz";"Badajoz";11;"Extremadura";2017
8;"Barcelona";"Barcelona";9;"Catalunya";2017
48;"Biscaia";"Bizkaia";16;"País Basc";2017
9;"Burgos";"Burgos";7;"Castella i Lleó";2017
11;"Cadis";"Cádiz";1;"Andalusia";2017
39;"Cantàbria";"Cantabria";6;"Cantàbria";2017
12;"Castelló de la Plana";"Castelló/Castellón";10;"Comunitat Valenciana";2017
51;"Ceuta";"Ceuta";18;"Ceuta";2017
13;"Ciudad Real";"Ciudad Real";8;"Castella - la Manxa";2017
16;"Conca";"Cuenca";8;"Castella - la Manxa";2017
15;"Corunya, la";"A Coruña";12;"Galícia";2017
10;"Càceres";"Cáceres";11;"Extremadura";2017
14;"Còrdova";"Córdoba";1;"Andalusia";2017
17;"Girona";"Girona";9;"Catalunya";2017
18;"Granada";"Granada";1;"Andalusia";2017
19;"Guadalajara";"Guadalajara";8;"Castella - la Manxa";2017
20;"Guipúscoa";"Gipuzkoa";16;"País Basc";2017
21;"Huelva";"Huelva";1;"Andalusia";2017
7;"Illes Balears";"Illes Balears";4;"Illes Balears";2017
23;"Jaén";"Jaén";1;"Andalusia";2017
25;"Lleida";"Lleida";9;"Catalunya";2017
24;"Lleó";"León";7;"Castella i Lleó";2017
27;"Lugo";"Lugo";12;"Galícia";2017
28;"Madrid";"Madrid";13;"Comunitat de Madrid";2017
52;"Melilla";"Melilla";19;"Melilla";2017
29;"Màlaga";"Málaga";1;"Andalusia";2017
30;"Múrcia";"Murcia";14;"Regió de Múrcia";2017
31;"Navarra";"Navarra";15;"Comunitat Foral de Navarra";2017
22;"Osca";"Huesca";2;"Aragó";2017
32;"Ourense";"Ourense";12;"Galícia";2017
35;"Palmas, Las";"Las Palmas";5;"Canàries";2017
34;"Palència";"Palencia";7;"Castella i Lleó";2017
36;"Pontevedra";"Pontevedra";12;"Galícia";2017
26;"Rioja, La";"La Rioja";17;"Rioja, La";2017
37;"Salamanca";"Salamanca";7;"Castella i Lleó";2017
38;"Santa Cruz de Tenerife";"Santa Cruz de Tenerife";5;"Canàries";2017
50;"Saragossa";"Zaragoza";2;"Aragó";2017
40;"Segòvia";"Segovia";7;"Castella i Lleó";2017
41;"Sevilla";"Sevilla";1;"Andalusia";2017
42;"Sòria";"Soria";7;"Castella i Lleó";2017
43;"Tarragona";"Tarragona";9;"Catalunya";2017
44;"Terol";"Teruel";2;"Aragó";2017
45;"Toledo";"Toledo";8;"Castella - la Manxa";2017
47;"Valladolid";"Valladolid";7;"Castella i Lleó";2017
46;"València";"València/Valencia";10;"Comunitat Valenciana";2017
49;"Zamora";"Zamora";7;"Castella i Lleó";2017
1;"Àlaba";"Araba/Álava";16;"País Basc";2017
5;"Àvila";"Ávila";7;"Castella i Lleó";2017
3;"Alacant";"Alicante/Alacant";10;"Comunitat Valenciana";2018
2;"Albacete";"Albacete";8;"Castella - la Manxa";2018
4;"Almeria";"Almería";1;"Andalusia";2018
33;"Astúries";"Asturias";3;"Principat d'Astúries";2018
6;"Badajoz";"Badajoz";11;"Extremadura";2018
8;"Barcelona";"Barcelona";9;"Catalunya";2018
48;"Biscaia";"Bizkaia";16;"País Basc";2018
9;"Burgos";"Burgos";7;"Castella i Lleó";2018
11;"Cadis";"Cádiz";1;"Andalusia";2018
39;"Cantàbria";"Cantabria";6;"Cantàbria";2018
12;"Castelló de la Plana";"Castelló/Castellón";10;"Comunitat Valenciana";2018
51;"Ceuta";"Ceuta";18;"Ceuta";2018
13;"Ciudad Real";"Ciudad Real";8;"Castella - la Manxa";2018
16;"Conca";"Cuenca";8;"Castella - la Manxa";2018
15;"Corunya, la";"A Coruña";12;"Galícia";2018
10;"Càceres";"Cáceres";11;"Extremadura";2018
14;"Còrdova";"Córdoba";1;"Andalusia";2018
17;"Girona";"Girona";9;"Catalunya";2018
18;"Granada";"Granada";1;"Andalusia";2018
19;"Guadalajara";"Guadalajara";8;"Castella - la Manxa";2018
20;"Guipúscoa";"Gipuzkoa";16;"País Basc";2018
21;"Huelva";"Huelva";1;"Andalusia";2018
7;"Illes Balears";"Illes Balears";4;"Illes Balears";2018
23;"Jaén";"Jaén";1;"Andalusia";2018
25;"Lleida";"Lleida";9;"Catalunya";2018
24;"Lleó";"León";7;"Castella i Lleó";2018
27;"Lugo";"Lugo";12;"Galícia";2018
28;"Madrid";"Madrid";13;"Comunitat de Madrid";2018
52;"Melilla";"Melilla";19;"Melilla";2018
29;"Màlaga";"Málaga";1;"Andalusia";2018
30;"Múrcia";"Murcia";14;"Regió de Múrcia";2018
31;"Navarra";"Navarra";15;"Comunitat Foral de Navarra";2018
22;"Osca";"Huesca";2;"Aragó";2018
32;"Ourense";"Ourense";12;"Galícia";2018
35;"Palmas, Las";"Las Palmas";5;"Canàries";2018
34;"Palència";"Palencia";7;"Castella i Lleó";2018
36;"Pontevedra";"Pontevedra";12;"Galícia";2018
26;"Rioja, La";"La Rioja";17;"Rioja, La";2018
37;"Salamanca";"Salamanca";7;"Castella i Lleó";2018
38;"Santa Cruz de Tenerife";"Santa Cruz de Tenerife";5;"Canàries";2018
50;"Saragossa";"Zaragoza";2;"Aragó";2018
40;"Segòvia";"Segovia";7;"Castella i Lleó";2018
41;"Sevilla";"Sevilla";1;"Andalusia";2018
42;"Sòria";"Soria";7;"Castella i Lleó";2018
43;"Tarragona";"Tarragona";9;"Catalunya";2018
44;"Terol";"Teruel";2;"Aragó";2018
45;"Toledo";"Toledo";8;"Castella - la Manxa";2018
47;"Valladolid";"Valladolid";7;"Castella i Lleó";2018
46;"València";"València/Valencia";10;"Comunitat Valenciana";2018
49;"Zamora";"Zamora";7;"Castella i Lleó";2018
1;"Àlaba";"Araba/Álava";16;"País Basc";2018
5;"Àvila";"Ávila";7;"Castella i Lleó";2018
3;"Alacant";"Alicante/Alacant";10;"Comunitat Valenciana";2019
2;"Albacete";"Albacete";8;"Castella - la Manxa";2019
4;"Almeria";"Almería";1;"Andalusia";2019
33;"Astúries";"Asturias";3;"Principat d'Astúries";2019
6;"Badajoz";"Badajoz";11;"Extremadura";2019
8;"Barcelona";"Barcelona";9;"Catalunya";2019
48;"Biscaia";"Bizkaia";16;"País Basc";2019
9;"Burgos";"Burgos";7;"Castella i Lleó";2019
11;"Cadis";"Cádiz";1;"Andalusia";2019
39;"Cantàbria";"Cantabria";6;"Cantàbria";2019
12;"Castelló de la Plana";"Castelló/Castellón";10;"Comunitat Valenciana";2019
51;"Ceuta";"Ceuta";18;"Ceuta";2019
13;"Ciudad Real";"Ciudad Real";8;"Castella - la Manxa";2019
16;"Conca";"Cuenca";8;"Castella - la Manxa";2019
15;"Corunya, la";"A Coruña";12;"Galícia";2019
10;"Càceres";"Cáceres";11;"Extremadura";2019
14;"Còrdova";"Córdoba";1;"Andalusia";2019
17;"Girona";"Girona";9;"Catalunya";2019
18;"Granada";"Granada";1;"Andalusia";2019
19;"Guadalajara";"Guadalajara";8;"Castella - la Manxa";2019
20;"Guipúscoa";"Gipuzkoa";16;"País Basc";2019
21;"Huelva";"Huelva";1;"Andalusia";2019
7;"Illes Balears";"Illes Balears";4;"Illes Balears";2019
23;"Jaén";"Jaén";1;"Andalusia";2019
25;"Lleida";"Lleida";9;"Catalunya";2019
24;"Lleó";"León";7;"Castella i Lleó";2019
27;"Lugo";"Lugo";12;"Galícia";2019
28;"Madrid";"Madrid";13;"Comunitat de Madrid";2019
52;"Melilla";"Melilla";19;"Melilla";2019
29;"Màlaga";"Málaga";1;"Andalusia";2019
30;"Múrcia";"Murcia";14;"Regió de Múrcia";2019
31;"Navarra";"Navarra";15;"Comunitat Foral de Navarra";2019
22;"Osca";"Huesca";2;"Aragó";2019
32;"Ourense";"Ourense";12;"Galícia";2019
35;"Palmas, Las";"Las Palmas";5;"Canàries";2019
34;"Palència";"Palencia";7;"Castella i Lleó";2019
36;"Pontevedra";"Pontevedra";12;"Galícia";2019
26;"Rioja, La";"La Rioja";17;"Rioja, La";2019
37;"Salamanca";"Salamanca";7;"Castella i Lleó";2019
38;"Santa Cruz de Tenerife";"Santa Cruz de Tenerife";5;"Canàries";2019
50;"Saragossa";"Zaragoza";2;"Aragó";2019
40;"Segòvia";"Segovia";7;"Castella i Lleó";2019
41;"Sevilla";"Sevilla";1;"Andalusia";2019
42;"Sòria";"Soria";7;"Castella i Lleó";2019
43;"Tarragona";"Tarragona";9;"Catalunya";2019
44;"Terol";"Teruel";2;"Aragó";2019
45;"Toledo";"Toledo";8;"Castella - la Manxa";2019
47;"Valladolid";"Valladolid";7;"Castella i Lleó";2019
46;"València";"València/Valencia";10;"Comunitat Valenciana";2019
49;"Zamora";"Zamora";7;"Castella i Lleó";2019
1;"Àlaba";"Araba/Álava";16;"País Basc";2019
5;"Àvila";"Ávila";7;"Castella i Lleó";2019
3;"Alacant";"Alicante/Alacant";10;"Comunitat Valenciana";2020
2;"Albacete";"Albacete";8;"Castella - la Manxa";2020
4;"Almeria";"Almería";1;"Andalusia";2020
33;"Astúries";"Asturias";3;"Principat d'Astúries";2020
6;"Badajoz";"Badajoz";11;"Extremadura";2020
8;"Barcelona";"Barcelona";9;"Catalunya";2020
48;"Biscaia";"Bizkaia";16;"País Basc";2020
9;"Burgos";"Burgos";7;"Castella i Lleó";2020
11;"Cadis";"Cádiz";1;"Andalusia";2020
39;"Cantàbria";"Cantabria";6;"Cantàbria";2020
12;"Castelló de la Plana";"Castelló/Castellón";10;"Comunitat Valenciana";2020
51;"Ceuta";"Ceuta";18;"Ceuta";2020
13;"Ciudad Real";"Ciudad Real";8;"Castella - la Manxa";2020
16;"Conca";"Cuenca";8;"Castella - la Manxa";2020
15;"Corunya, la";"A Coruña";12;"Galícia";2020
10;"Càceres";"Cáceres";11;"Extremadura";2020
14;"Còrdova";"Córdoba";1;"Andalusia";2020
17;"Girona";"Girona";9;"Catalunya";2020
18;"Granada";"Granada";1;"Andalusia";2020
19;"Guadalajara";"Guadalajara";8;"Castella - la Manxa";2020
20;"Guipúscoa";"Gipuzkoa";16;"País Basc";2020
21;"Huelva";"Huelva";1;"Andalusia";2020
7;"Illes Balears";"Illes Balears";4;"Illes Balears";2020
23;"Jaén";"Jaén";1;"Andalusia";2020
25;"Lleida";"Lleida";9;"Catalunya";2020
24;"Lleó";"León";7;"Castella i Lleó";2020
27;"Lugo";"Lugo";12;"Galícia";2020
28;"Madrid";"Madrid";13;"Comunitat de Madrid";2020
52;"Melilla";"Melilla";19;"Melilla";2020
29;"Màlaga";"Málaga";1;"Andalusia";2020
30;"Múrcia";"Murcia";14;"Regió de Múrcia";2020
31;"Navarra";"Navarra";15;"Comunitat Foral de Navarra";2020
22;"Osca";"Huesca";2;"Aragó";2020
32;"Ourense";"Ourense";12;"Galícia";2020
35;"Palmas, Las";"Las Palmas";5;"Canàries";2020
34;"Palència";"Palencia";7;"Castella i Lleó";2020
36;"Pontevedra";"Pontevedra";12;"Galícia";2020
26;"Rioja, La";"La Rioja";17;"Rioja, La";2020
37;"Salamanca";"Salamanca";7;"Castella i Lleó";2020
38;"Santa Cruz de Tenerife";"Santa Cruz de Tenerife";5;"Canàries";2020
50;"Saragossa";"Zaragoza";2;"Aragó";2020
40;"Segòvia";"Segovia";7;"Castella i Lleó";2020
41;"Sevilla";"Sevilla";1;"Andalusia";2020
42;"Sòria";"Soria";7;"Castella i Lleó";2020
43;"Tarragona";"Tarragona";9;"Catalunya";2020
44;"Terol";"Teruel";2;"Aragó";2020
45;"Toledo";"Toledo";8;"Castella - la Manxa";2020
47;"Valladolid";"Valladolid";7;"Castella i Lleó";2020
46;"València";"València/Valencia";10;"Comunitat Valenciana";2020
49;"Zamora";"Zamora";7;"Castella i Lleó";2020
1;"Àlaba";"Araba/Álava";16;"País Basc";2020
5;"Àvila";"Ávila";7;"Castella i Lleó";2020
